"","eco_innovation","recycling","resource_reduction","energy_saving","sust_prod","AI","bigdata","cloud","highspeed","robot","smart_devices","fam_owned","financecap","indstrl_area","urban_area","skillshortage","nace_a","ln_size","isocntry"
"1",0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,"12",1.79175946922805,"BE"
"2",0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,"12",0.693147180559945,"BE"
"3",0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,"6",1.09861228866811,"BE"
"4",0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,"2",0.693147180559945,"BE"
"5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"10",0.693147180559945,"BE"
"6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12",1.38629436111989,"BE"
"7",0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,"12",1.6094379124341,"BE"
"8",1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"13",5.50938833662798,"BE"
"9",0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,"12",5.75257263882563,"BE"
"10",0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,"12",2.56494935746154,"BE"
"11",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"8",1.94591014905531,"BE"
"12",1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,"5",2.39789527279837,"BE"
"13",0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,"2",4.70048036579242,"BE"
"14",0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,"2",5.87211778947542,"BE"
"15",1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,"5",1.79175946922805,"BE"
"16",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,"12",0.693147180559945,"BE"
"17",1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,"5",3.17805383034795,"BE"
"18",0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,"15",4.44265125649032,"BE"
"19",1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,"8",2.70805020110221,"BE"
"20",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"5",1.09861228866811,"BE"
"21",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"2",2.70805020110221,"BE"
"22",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,"12",1.09861228866811,"BE"
"23",0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,"15",4.0943445622221,"BE"
"24",0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,"6",0.693147180559945,"BE"
"25",0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,"5",2.94443897916644,"BE"
"26",0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,"6",0.693147180559945,"BE"
"27",1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,"5",2.07944154167984,"BE"
"28",0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,"9",2.07944154167984,"BE"
"29",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,"6",1.09861228866811,"BE"
"30",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,"12",1.09861228866811,"BE"
"31",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,"5",4.14313472639153,"BE"
"32",0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,"5",4.0943445622221,"BE"
"33",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"13",4.07753744390572,"BE"
"34",0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,"5",0.693147180559945,"BE"
"35",0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,"10",0.693147180559945,"BE"
"36",0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,"5",3.93182563272433,"BE"
"37",1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,"2",4.77068462446567,"BE"
"38",0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,"8",2.07944154167984,"BE"
"39",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"5",0.693147180559945,"BE"
"40",0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,"5",4.07753744390572,"BE"
"41",0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,"5",1.6094379124341,"BE"
"42",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"2",2.30258509299405,"BE"
"43",0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,"16",5.85793315448346,"BE"
"44",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"15",3.55534806148941,"BE"
"45",0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,"15",4.85981240436167,"BE"
