"Equation","Variable","Marginal_Effect"
"eco_innovation","(Intercept)",-0.199468890237482
"eco_innovation","AI_var",0.0397408513660958
"eco_innovation","bigdata",0.0660369598044286
"eco_innovation","cloud",0.0240964393523402
"eco_innovation","highspeed",0.0322474000326676
"eco_innovation","robot",0.042401083529194
"eco_innovation","smart",0.14235385995211
"eco_innovation","fam_owned",0.047804032983797
"eco_innovation","financecap",0.0305339246643187
"eco_innovation","indstrl_area",0.025114175518855
"eco_innovation","urban_area",-0.0204602342860887
"eco_innovation","skillshortage",-0.088942612390975
"eco_innovation","nace_a10",-0.103241625164969
"eco_innovation","nace_a11",-0.0506495025433577
"eco_innovation","nace_a12",-0.140851854766474
"eco_innovation","nace_a13",-0.147191036218535
"eco_innovation","nace_a14",-0.0823077746056852
"eco_innovation","nace_a15",-0.134113780265814
"eco_innovation","nace_a16",-0.0724882736794186
"eco_innovation","nace_a2",-0.0699873617582043
"eco_innovation","nace_a3",0.0243839859048095
"eco_innovation","nace_a4",0.0214350619991594
"eco_innovation","nace_a5",-0.104197037467725
"eco_innovation","nace_a6",-0.0940701823683026
"eco_innovation","nace_a7",-0.0377586735828146
"eco_innovation","nace_a8",-0.0199349110735089
"eco_innovation","nace_a9",-0.175712568720271
"eco_innovation","ln_size",0.00951348774953895
"eco_innovation","isocntryBA",-0.234261249682353
"eco_innovation","isocntryBE",0.0282087438699983
"eco_innovation","isocntryBG",-0.0112008895184737
"eco_innovation","isocntryBR",0.00869858777481393
"eco_innovation","isocntryCA",-0.0732382497000214
"eco_innovation","isocntryCY",-0.204883656360531
"eco_innovation","isocntryCZ",0.00372729086409482
"eco_innovation","isocntryDE",0.0312171586876473
"eco_innovation","isocntryDK",0.0502981911817098
"eco_innovation","isocntryEE",-0.178046327619721
"eco_innovation","isocntryES",0.0244152039555953
"eco_innovation","isocntryFI",-0.0233377628179369
"eco_innovation","isocntryFR",0.0240213096284791
"eco_innovation","isocntryGB",0.00564988848025793
"eco_innovation","isocntryGR",-0.145546220192301
"eco_innovation","isocntryHR",-0.192811843466528
"eco_innovation","isocntryHU",-0.0928695285799046
"eco_innovation","isocntryIE",-0.000987112697854332
"eco_innovation","isocntryIS",0.055543796020627
"eco_innovation","isocntryIT",-0.162060973108061
"eco_innovation","isocntryJP",-0.0473382381003562
"eco_innovation","isocntryLT",-0.229344173179864
"eco_innovation","isocntryLU",0.0634623587359923
"eco_innovation","isocntryLV",0.0252610348533335
"eco_innovation","isocntryMK",-0.153140588074421
"eco_innovation","isocntryNL",-0.0138803020396535
"eco_innovation","isocntryNO",-0.028831751231989
"eco_innovation","isocntryPL",0.0227377484757885
"eco_innovation","isocntryPT",0.0433637982806008
"eco_innovation","isocntryRO",-0.149021937807941
"eco_innovation","isocntryRS",-0.10263665437351
"eco_innovation","isocntryRS-KM",0.00678140532187175
"eco_innovation","isocntrySE",-0.0266617674747658
"eco_innovation","isocntrySI",-0.111657603183878
"eco_innovation","isocntrySK",-0.0201864332920968
"eco_innovation","isocntryTR",-0.0239550995580632
"eco_innovation","isocntryUS",-0.165436139503808
"recycling","(Intercept)",-0.0876533413883361
"recycling","AI_var",0.00980960096307722
"recycling","bigdata",0.0354416432664257
"recycling","cloud",0.0777037717501145
"recycling","highspeed",0.0642230245270102
"recycling","robot",0.0442765131140053
"recycling","smart",0.104538656630715
"recycling","fam_owned",0.0532911983962354
"recycling","financecap",0.00263732218159509
"recycling","indstrl_area",0.0400286244514819
"recycling","urban_area",-0.0228063371695729
"recycling","skillshortage",-0.0148820111908176
"recycling","nace_a10",-0.0481125149829159
"recycling","nace_a11",0.0294152959842275
"recycling","nace_a12",0.0633005853931684
"recycling","nace_a13",0.056543556472163
"recycling","nace_a14",0.051983996579596
"recycling","nace_a15",0.0383087515486321
"recycling","nace_a16",0.118609173109584
"recycling","nace_a2",0.154540375393755
"recycling","nace_a3",-0.0595224686726132
"recycling","nace_a4",0.117052840610558
"recycling","nace_a5",0.11095406356931
"recycling","nace_a6",0.129918515314111
"recycling","nace_a7",-0.0335861052028091
"recycling","nace_a8",0.15832596929999
"recycling","nace_a9",-0.0217080475477016
"recycling","ln_size",0.00902649548493163
"recycling","isocntryBA",-0.3124559022591
"recycling","isocntryBE",0.0350790478033738
"recycling","isocntryBG",-0.235701200834847
"recycling","isocntryBR",0.125557197961035
"recycling","isocntryCA",0.158754074153105
"recycling","isocntryCY",0.296795757666822
"recycling","isocntryCZ",-0.0295113128794015
"recycling","isocntryDE",0.0448641308458769
"recycling","isocntryDK",0.196990416514236
"recycling","isocntryEE",-0.320571147924345
"recycling","isocntryES",0.244134778396495
"recycling","isocntryFI",0.0994142238043951
"recycling","isocntryFR",0.0599323033446359
"recycling","isocntryGB",0.208100741339442
"recycling","isocntryGR",0.0172298269506372
"recycling","isocntryHR",-0.0636182710944458
"recycling","isocntryHU",-0.375193009984558
"recycling","isocntryIE",0.223506830652267
"recycling","isocntryIS",0.144755835734928
"recycling","isocntryIT",-0.107849235051155
"recycling","isocntryJP",-0.219743185692153
