Outcome,Variable,MarginalEffect
eco_innovation,smart,0.142
eco_innovation,bigdata,0.066
eco_innovation,isocntryLU,0.063
eco_innovation,isocntryIS,0.056
eco_innovation,isocntryDK,0.05
eco_innovation,nace_a11,-0.051
eco_innovation,nace_a2,-0.07
eco_innovation,nace_a16,-0.072
eco_innovation,isocntryCA,-0.073
eco_innovation,nace_a14,-0.082
eco_innovation,skillshortage,-0.089
eco_innovation,isocntryHU,-0.093
eco_innovation,nace_a6,-0.094
eco_innovation,isocntryRS,-0.103
eco_innovation,nace_a10,-0.103
eco_innovation,nace_a5,-0.104
eco_innovation,isocntrySI,-0.112
eco_innovation,nace_a15,-0.134
eco_innovation,nace_a12,-0.141
eco_innovation,isocntryGR,-0.146
eco_innovation,nace_a13,-0.147
eco_innovation,isocntryRO,-0.149
eco_innovation,isocntryMK,-0.153
eco_innovation,isocntryIT,-0.162
eco_innovation,isocntryUS,-0.165
eco_innovation,nace_a9,-0.176
eco_innovation,isocntryEE,-0.178
eco_innovation,isocntryHR,-0.193
eco_innovation,(Intercept),-0.199
eco_innovation,isocntryCY,-0.205
eco_innovation,isocntryLT,-0.229
eco_innovation,isocntryBA,-0.234
energy_saving,smart,0.143
energy_saving,isocntryDE,0.112
energy_saving,nace_a8,0.102
energy_saving,(Intercept),0.09
energy_saving,highspeed,0.075
energy_saving,robot,0.073
energy_saving,isocntryBR,0.069
energy_saving,cloud,0.055
energy_saving,AI_var,0.053
energy_saving,urban_area,-0.052
energy_saving,isocntryPT,-0.059
energy_saving,nace_a7,-0.063
energy_saving,nace_a5,-0.069
energy_saving,nace_a10,-0.076
energy_saving,isocntryLV,-0.081
energy_saving,skillshortage,-0.082
energy_saving,isocntryLU,-0.083
energy_saving,isocntryFI,-0.084
energy_saving,nace_a15,-0.086
energy_saving,isocntryES,-0.087
energy_saving,isocntryBE,-0.094
energy_saving,nace_a13,-0.099
energy_saving,isocntryCZ,-0.111
energy_saving,isocntryPL,-0.112
energy_saving,nace_a12,-0.115
energy_saving,isocntryFR,-0.137
energy_saving,isocntryGB,-0.157
energy_saving,isocntryNO,-0.181
energy_saving,nace_a9,-0.185
energy_saving,isocntryCA,-0.187
energy_saving,isocntrySI,-0.228
energy_saving,isocntryBG,-0.229
energy_saving,isocntryJP,-0.248
energy_saving,isocntryTR,-0.25
energy_saving,isocntryUS,-0.271
energy_saving,isocntryHR,-0.275
energy_saving,isocntryRS,-0.276
energy_saving,isocntryHU,-0.301
energy_saving,isocntrySK,-0.311
energy_saving,isocntryBA,-0.318
energy_saving,isocntryCY,-0.327
energy_saving,isocntryIS,-0.33
energy_saving,isocntryGR,-0.334
energy_saving,isocntryMK,-0.367
energy_saving,isocntryRO,-0.385
energy_saving,isocntryLT,-0.392
energy_saving,isocntryEE,-0.4
energy_saving,isocntryIT,-0.402
energy_saving,isocntryRS-KM,-0.527
recycling,isocntryCY,0.297
recycling,isocntryES,0.244
recycling,isocntryIE,0.224
recycling,isocntrySE,0.217
recycling,isocntryGB,0.208
recycling,isocntryDK,0.197
recycling,isocntryCA,0.159
recycling,nace_a8,0.158
recycling,nace_a2,0.155
recycling,isocntryPT,0.148
recycling,isocntryIS,0.145
recycling,nace_a6,0.13
recycling,isocntryBR,0.126
recycling,nace_a16,0.119
recycling,nace_a4,0.117
recycling,nace_a5,0.111
recycling,smart,0.105
recycling,isocntryNO,0.101
recycling,isocntryFI,0.099
recycling,isocntryLU,0.098
recycling,cloud,0.078
recycling,isocntryUS,0.068
recycling,highspeed,0.064
recycling,nace_a12,0.063
recycling,isocntryFR,0.06
recycling,nace_a13,0.057
recycling,fam_owned,0.053
recycling,nace_a14,0.052
recycling,nace_a3,-0.06
recycling,isocntrySK,-0.063
recycling,isocntryHR,-0.064
recycling,isocntryPL,-0.069
recycling,(Intercept),-0.088
recycling,isocntryIT,-0.108
recycling,isocntryTR,-0.138
recycling,isocntryLV,-0.149
recycling,isocntryRO,-0.159
recycling,isocntrySI,-0.192
recycling,isocntryJP,-0.22
recycling,isocntryBG,-0.236
recycling,isocntryRS,-0.238
recycling,isocntryMK,-0.267
recycling,isocntryBA,-0.312
recycling,isocntryEE,-0.321
recycling,isocntryLT,-0.37
recycling,isocntryHU,-0.375
recycling,isocntryRS-KM,-0.445
resource_reduction,isocntryBR,0.258
resource_reduction,isocntryES,0.185
resource_reduction,smart,0.139
resource_reduction,nace_a8,0.138
resource_reduction,isocntryDE,0.136
resource_reduction,isocntryLU,0.109
resource_reduction,isocntrySE,0.096
resource_reduction,highspeed,0.091
resource_reduction,cloud,0.084
resource_reduction,nace_a14,0.066
resource_reduction,robot,0.059
resource_reduction,AI_var,0.058
resource_reduction,fam_owned,0.05
resource_reduction,isocntryLV,-0.051
resource_reduction,isocntryFI,-0.066
resource_reduction,skillshortage,-0.07
resource_reduction,isocntryBE,-0.083
resource_reduction,isocntryPL,-0.093
resource_reduction,isocntryUS,-0.112
resource_reduction,isocntryCZ,-0.118
resource_reduction,isocntryNL,-0.123
resource_reduction,isocntryNO,-0.14
resource_reduction,isocntryBG,-0.154
resource_reduction,nace_a9,-0.166
resource_reduction,isocntryTR,-0.194
resource_reduction,isocntryIS,-0.201
resource_reduction,isocntrySI,-0.215
resource_reduction,isocntryGR,-0.251
resource_reduction,isocntryHR,-0.257
resource_reduction,isocntrySK,-0.273
resource_reduction,isocntryCY,-0.281
resource_reduction,isocntryJP,-0.301
resource_reduction,isocntryHU,-0.308
resource_reduction,isocntryLT,-0.34
resource_reduction,isocntryBA,-0.343
resource_reduction,isocntryRO,-0.39
resource_reduction,isocntryMK,-0.406
resource_reduction,isocntryRS,-0.411
resource_reduction,isocntryEE,-0.471
resource_reduction,isocntryRS-KM,-0.492
resource_reduction,isocntryIT,-0.61
sustnb_prod,isocntrySE,0.193
sustnb_prod,isocntryBR,0.12
sustnb_prod,smart,0.107
sustnb_prod,isocntryFI,0.097
sustnb_prod,AI_var,0.075
sustnb_prod,robot,0.074
sustnb_prod,cloud,0.067
sustnb_prod,bigdata,0.065
sustnb_prod,highspeed,0.063
sustnb_prod,isocntryLU,0.056
sustnb_prod,isocntryFR,0.051
sustnb_prod,isocntryNO,0.05
sustnb_prod,isocntryBE,-0.055
sustnb_prod,nace_a13,-0.057
sustnb_prod,isocntryNL,-0.059
sustnb_prod,nace_a16,-0.06
sustnb_prod,isocntryDK,-0.06
sustnb_prod,nace_a11,-0.072
sustnb_prod,nace_a5,-0.082
sustnb_prod,isocntryPL,-0.093
sustnb_prod,nace_a9,-0.094
sustnb_prod,nace_a12,-0.097
sustnb_prod,isocntryJP,-0.101
sustnb_prod,skillshortage,-0.103
sustnb_prod,nace_a14,-0.106
sustnb_prod,isocntryUS,-0.108
sustnb_prod,isocntryCZ,-0.109
sustnb_prod,nace_a7,-0.115
sustnb_prod,nace_a10,-0.118
sustnb_prod,isocntryIS,-0.128
sustnb_prod,isocntryEE,-0.128
sustnb_prod,nace_a15,-0.132
sustnb_prod,isocntrySI,-0.153
sustnb_prod,isocntryBG,-0.157
sustnb_prod,(Intercept),-0.166
sustnb_prod,isocntryLT,-0.171
sustnb_prod,isocntrySK,-0.186
sustnb_prod,isocntryRS-KM,-0.212
sustnb_prod,isocntryHR,-0.264
sustnb_prod,isocntryHU,-0.279
sustnb_prod,isocntryMK,-0.28
sustnb_prod,isocntryRS,-0.299
sustnb_prod,isocntryGR,-0.302
sustnb_prod,isocntryBA,-0.305
sustnb_prod,isocntryCY,-0.314
sustnb_prod,isocntryIT,-0.357
